,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text,full_text_file,url
842,7v5aln90,ca950c8677b72b5c4812be3f7d082029df3c12ea,biorxiv,Emergence of SARS-CoV-2 through Recombination and Strong Purifying Selection,10.1101/2020.03.20.000885,,,biorxiv,"COVID-19 has become a global pandemic caused by a novel coronavirus SARS-CoV-2. Understanding the origins of SARS-CoV-2 is critical for deterring future zoonosis and for drug discovery and vaccine development. We show evidence of strong purifying selection around the receptor binding motif (RBM) in the spike gene and in other genes among bat, pangolin and human coronaviruses, indicating similar strong evolutionary constraints in different host species. We also demonstrate that SARS-CoV-2's entire RBM was introduced through recombination with coronaviruses from pangolins, possibly a critical step in the evolution of SARS-CoV-2's ability to infect humans. Similar purifying selection in different host species and frequent recombination among coronaviruses suggest a common evolutionary mechanism that could lead to new emerging human coronaviruses.",3/22/20,Xiaojun Li; Elena E. Giorgi; Manukumar Honnayakanahalli Marichann; Brian Foley; Chuan Xiao; Xiang-peng Kong; Yue Chen; Bette Korber; Feng Gao,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.20.000885
343,u6b8iwr0,233978852b45429db49d2aabe1c9c9bfe73b1884,medrxiv,CoVID-19 in Japan: What could happen in the future?,10.1101/2020.02.21.20026070,,,medrvix,"COVID-19 has been impacting on the whole world critically and constantly Since December 2019. We have independently developed a novel statistical time delay dynamic model on the basis of the distribution models from CCDC. Based only on the numbers of confirmed cases in different regions in China, the model can clearly reveal that the containment of the epidemic highly depends on early and effective isolation. We apply the model on the epidemic in Japan and conclude that there could be a rapid outbreak in Japan if no effective quarantine measures are carried out immediately.",2/23/20,Nian Shao; Hanshuang Pan; Xingjie Li; Weijia Li; Shufen Wang; Yan Xuan; Yue Yan; Yu Jiang; Keji Liu; Yu Chen; Boxi Xu; Xinyue Luo; Christopher Y. Shen; Min Zhong; Xiang Xu; Xu Chen; Shuai Lu; Guanghong Ding; Jin Cheng; Wenbin Chen,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.21.20026070
1928,ves4mwam,,WHO,[The importance of strengthening the ability of fundamental disease prevention and control system from the perspective of the epidemic situation of COVID-19],10.3760/cma.j.cn112150-20200220-00149,,32107911,unk,"COVID-19 has been in epidemic for nearly two months. The prevention and control measures have achieved remarkable results. From the response and disposal process of this epidemic, it is exposed that fundamental disease prevention and control system are insufficient in human resources and ability of laboratory testing. It is suggested that the disease control institutions should strengthen the construction of these aspects in future.",2020,"Wang, M.",Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],2366762302,#2968,FALSE,,https://doi.org/10.3760/cma.j.cn112150-20200220-00149
558,nt5sprdh,93d8f1552a81587e2f88e38580cbe4753b9934f1,medrxiv,Amplicon based MinION sequencing of SARS-CoV-2 and metagenomic characterisation of nasopharyngeal swabs from patients with COVID-19,10.1101/2020.03.05.20032011,,,medrvix,COVID-19 is a complex disease phenotype where the underlying microbiome could influence morbidity and mortality. Amplicon and metagenomic MinION based sequencing was used to rapidly (within 8 hours) identify SARS-CoV-2 and assess the microbiome in nasopharyngeal swabs obtained from patients with COVID-19 by the ISARIC 4C consortium.,3/8/20,Shona C Moore; Rebekah Penrice-Randal; Muhannad Alruwaili; Xiaofeng Dong; Steven T Pullan; Daniel Carter; Kevin Bewley; Qin Zhao; Yani Sun; Catherine Hartley; En-min Zhou; Tom Solomon; Michael B. J. Beadsworth; James Cruise; Debby Bogaert; Derrick W T Crook; David A Matthews; Andrew D. Davidson; Zana Mahmood; Waleed Aljabr; Julian Druce; Richard T Vipond; Lisa Ng; Laurent Renia; Peter Openshaw; J Kenneth Baillie; Miles W Carroll; Calum Semple; Lance Turtle; Julian Alexander Hiscox,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.05.20032011
1915,vinme2t6,,WHO,Recommendations for respiratory rehabilitation of COVID-19 in adult,10.3760/cma.j.cn112147-20200228-00206,,32125127,unk,"COVID-19 is a highly infectious respiratory infection disease, which leads to dysfunction of respiratory, physical, and psychological of the patients. pulmonary rehabilitation is an important intervention for clinical patients as well as cure patients. With the deeper cognition of COVID-19 and accumulation of clinical experience, we proposed the recommendations for pulmonary rehabilitation of COVID-19 in adults based on the opinions of front-line clinical experts involved in the management of this epidemic and a review of the relevant literature and evidences: 1. for the inpatients with COVID-19, pulmonary rehabilitation would relieve the symptoms of dyspnea, anxiety, and depression; eventually improve physical function and the quality of life; 2. For severe/critical inpatients, the early performance of pulmonary rehabilitation is not suggested. 3. For isolating patients, the pulmonary rehabilitation guidence should be conducted through education video, instruction manual or remote consultation. 4. Assessment and monitor should be performed throughout the entire pulmonary rehabilitation process.5. Taking proper grading protection following the guideline. These recommendations can serve as a clinical practice guidence and basis for pulmonary rehabilitation of COVID-19.",2020,"Chinese Association of Rehabilitation, Medicine; Respiratory rehabilitation committee of Chinese Association of Rehabilitation, Medicine; Cardiopulmonary rehabilitation Group of Chinese Society of Physicai, Medicine; Rehabilitation",Zhonghua Jie He He Hu Xi Za Zhi,2354723963,#3433,FALSE,,https://doi.org/10.3760/cma.j.cn112147-20200228-00206
2124,r8x24jjd,,WHO,Expert consensus on diagnosis and treatment of 2019 novel coronavirus (2019-nCoV) infection with acute kidney injury,,,,unk,"COVID-19 is a newly discovered class B infectious disease. It is characterized by virus infected pneumonia, accompanying with dysfunction in multiple organs including kidney, heart, blood, and nerve system. Since its outbreak in China in December 2019, COVID-19 has now spread to more than 20 countries and regions all over the world, and World Health Organization (WHO) has declared it as a public health emergency of international concern. COVID-19, like previous severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS), is also caused by coronavirus infection, and acute kidney injury (AKI) is one of the important complications of the disease. Timely prevention and treatment of AKI is critical for patients with COVID-19. Here the Chinese Society of Nephrology organized a group of experts in nephrology to summarize the features of COVID-19 related AKI including epidemiological and clinical characteristics, and more importantly, to propose suggestions on diagnosis and treatment of this highly contagious disease. It is our hope to raise clinical concern about management of AKI so as to improve the outcome of patients with COVID-19.",2020,,Chinese Journal of Nephrology,,#6458,FALSE,,
1816,0em5sf3g,,WHO,COVID-19: A New Virus as a Potential Rapidly Spreading in the Worldwide,10.22038/jctm.2020.46924.1264,,,unk,"Covid-19 is a novel virus with high affinity to spread in the community. In December 2019, it was first identified in Wuhan, China. The symptoms are non-specific, so fever, cough, dyspnea, are prominent features. Respiratory failure and mortality have also been reported. The most common lung CT scan findings are bilateral ground glass opacities.",2020,"Fariba Rezaeetalab, Mahnaz Mozdourian, Mahnaz Amini, Zahra Javidarabshahi, Farzaneh Akbari",Journal of Cardio-Thoracic Medicine,,#5660,FALSE,,https://doi.org/10.22038/jctm.2020.46924.1264
739,37dadupn,a5c214b0c76d5a11c11deef9d25adafaffa4bfe9,medrxiv,Building a COVID-19 Vulnerability Index,10.1101/2020.03.16.20036723,,,medrvix,"COVID-19 is an acute respiratory disease that has been classified as a pandemic by the World Health Organization. Information regarding this particular disease is limited, however, it is known to have high mortality rates, particularly among individuals with preexisting medical conditions. Creating models to identify individuals who are at the greatest risk for severe complications due to COVID-19 will be useful to help for outreach campaigns in mitigating the diseases worst effects. While information specific to COVID-19 is limited, a model using complications due to other upper respiratory infections can be used as a proxy to help identify those individuals who are at the greatest risk. We present the results for three models predicting such complications, with each model having varying levels of predictive effectiveness at the expense of ease of implementation.",3/21/20,Dave DeCaprio; Joseph A Gartner; Thadeus Burgess; Sarthak Kothari; Shaayaan Sayed; Carol J McCall,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.16.20036723
861,5f95gve3,72bec44d56da538afeabe871b4069ffe9b0906da,biorxiv,Identification of antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs,10.1101/2020.03.20.999730,,,biorxiv,"COVID-19 is an emerging infectious disease and was recently declared as a pandemic by WHO. Currently, there is no vaccine or therapeutic available for this disease. Drug repositioning represents the only feasible option to address this global challenge and a panel of fifty FDA-approved drugs that have been pre-selected by an assay of SARS-CoV was screened to identify potential antiviral drug candidates against SARS-CoV-2 infection. We found a total of 24 drugs which exhibited antiviral efficacy (0.1 μM < IC50 < 10 μM) against SARS-CoV-2. In particular, two FDA-approved drugs – niclosamide and ciclesonide – were notable in some respects. These drugs will be tested in an appropriate animal model for their antiviral activities. In near future, these already FDA-approved drugs could be further developed following clinical trials in order to provide additional therapeutic options for patients with COVID-19.",3/20/20,Sangeun Jeon; Meehyun Ko; Jihye Lee; Inhee Choi; Soo Young Byun; Soonju Park; David Shum; Seungtaek Kim,,,,TRUE,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.20.999730
2125,0qhjk7lh,,WHO,COVID-19 with acute cerebral infarction: one case report,,,,unk,"COVID-19 is caused by the 2019 novel coronavirus, which is characterized by hidden onset, long incubation period, and high contagion. The study found that the COVID-19 not only attacks the respiratory system, but also affects other systems such as the heart, kidney, and digestive tract, and could be combined with multiple system diseases such as acute cerebrovascular disease. If doctors, especially non-infective or respiratory doctors, do not pay great attention to the patient when they are receiving patients, and take good care of them, they may easily cause their own infection. This article summarizes the case of a concealed onset COVID-19 patient with cerebral infarction, which caused a medical staff infection after intravenous thrombolytic therapy, explores its clinical characteristics, treatment process and analyzes its prevention and control links to help the epidemic situation. In the prevention and control, the first-time doctor should pay attention to identification, reduce missed diagnosis, and scientific investigation to reduce occupational infection.",2020,"CHEN, Shengcai",Chinese Journal of Neurology,,#6387,FALSE,,
